"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Amalia Benavides Aguirre","WB","R","2527","1.05","631","1.05","1768","47.3%","51.9%","304","","478","","782","52.4%","986","51.5%","0.9pp"
"The Ancient One","UB","M","1420","1.12","499","1.11","1756","57.7%","53.0%","311","","476","","787","56.4%","958","49.9%","6.5pp"
"Anim Pakal, Thousandth Moon","WR","R","2418","1.00","1710","1.00","9432","85.4%","60.1%","1677","67.4%","2097","64.6%","3774","65.8%","5662","56.3%","9.5pp"
"Bartolomé del Presidio","WB","U","41357","4.36","3680","5.60","13800","62.1%","54.2%","2312","55.4%","3555","54.9%","5867","55.1%","7942","53.5%","1.7pp"
"The Belligerent","UR","R","2495","1.05","1229","1.05","5635","75.5%","56.4%","970","60.7%","1293","57.5%","2263","58.9%","3310","54.8%","4.0pp"
"Caparocti Sunborn","WR","U","24809","2.63","5523","2.98","27276","79.0%","57.3%","4572","58.8%","6004","57.6%","10576","58.1%","16709","56.7%","1.5pp"
"Captain Storm, Cosmium Raider","UR","U","24549","2.64","8287","2.81","44315","83.3%","59.7%","7870","65.6%","10077","59.3%","17947","62.1%","25745","58.0%","4.1pp"
"Deepfathom Echo","UG","R","2447","1.02","1200","1.01","5259","71.5%","56.6%","877","64.8%","1419","60.5%","2296","62.2%","2902","52.6%","9.6pp"
"Gishath, Sun's Avatar","WRG","M","1266","1.03","413","1.03","1270","51.9%","48.9%","205","","309","","514","46.3%","736","50.0%","-3.7pp"
"Itzquinth, Firstborn of Gishath","RG","U","22707","2.43","5102","2.58","24718","77.6%","57.8%","4272","59.9%","5594","61.5%","9866","60.8%","14634","55.6%","5.2pp"
"Kellan, Daring Traveler","W","R","2397","1.01","1342","1.01","7254","85.2%","57.6%","1306","64.2%","1689","57.5%","2995","60.4%","4243","55.6%","4.8pp"
"Kutzil, Malamet Exemplar","WG","U","30882","3.24","3788","3.89","15101","65.4%","55.3%","2582","58.7%","3490","57.2%","6072","57.8%","8953","53.5%","4.3pp"
"Master's Guide-Mural","WU","U","36609","3.18","10334","3.61","51646","79.0%","57.8%","8560","57.7%","13170","59.2%","21730","58.6%","29214","57.2%","1.4pp"
"Molten Collapse","BR","R","2529","1.05","694","1.03","2099","51.7%","54.3%","344","","516","57.9%","860","56.7%","1236","52.4%","4.3pp"
"The Mycotyrant","BG","M","1256","1.05","546","1.05","2047","63.5%","53.5%","353","","517","55.9%","870","55.2%","1170","52.2%","3.0pp"
"Nicanzil, Current Conductor","UG","U","36619","3.76","3750","4.44","13916","63.1%","53.0%","2394","56.3%","3576","54.3%","5970","55.1%","7825","51.5%","3.6pp"
"Palani's Hatcher","RG","R","2367","1.00","1613","1.00","8925","84.7%","60.1%","1504","70.8%","2093","68.9%","3597","69.7%","5265","53.4%","16.3pp"
"Quintorius Kand","WR","M","1222","1.00","1008","1.00","5648","87.0%","59.2%","980","64.0%","1348","64.5%","2328","64.3%","3312","55.6%","8.7pp"
